iteration,train_rmse,test_rmse,gap
1,0.310074415688535,0.3150277349349277,0.004953319246392696
2,0.30793271291942115,0.31277968710274484,0.0048469741833236935
3,0.3060073945629303,0.310548152050809,0.004540757487878688
4,0.30417760650983783,0.30864962705945775,0.004472020549619926
5,0.30250993471117804,0.3067527521814183,0.0042428174702402455
6,0.30090404282394234,0.3051318351482523,0.004227792324309976
7,0.2994767967016597,0.3035785567046279,0.004101760002968191
8,0.2980749486058316,0.3021961544585502,0.004121205852718579
9,0.29679342115983404,0.30079690862232106,0.004003487462487021
10,0.29562262248267795,0.2995972799136858,0.003974657431007833
11,0.29447703911758794,0.2983480502692303,0.003871011151642345
12,0.29341964558616557,0.29724401514792764,0.0038243695617620754
13,0.2924136857955863,0.2963808956982134,0.003967209902627111
14,0.29147676980788284,0.295500094022987,0.0040233242151041515
15,0.29054426345866724,0.2946687620547588,0.0041244985960915415
16,0.28971746989051533,0.29392529510280013,0.004207825212284799
17,0.2888587984162286,0.293059399886927,0.004200601470698395
18,0.2880906955824242,0.2923524545818831,0.004261758999458853
19,0.28742004849564656,0.291907139625891,0.004487091130244425
20,0.2867199756249154,0.29124278805292775,0.004522812428012335
21,0.2860106777414823,0.29069451287807296,0.004683835136590653
22,0.2853753311691782,0.2901863546521607,0.004811023482982513
23,0.28474735344703567,0.28966688996220125,0.004919536515165579
24,0.2841817159067159,0.28928875583917935,0.00510703993246342
25,0.28360689884539114,0.288970627549708,0.005363728704316839
26,0.2830777895120171,0.2886178626720093,0.005540073159992165
27,0.28255776788538073,0.2882542194441031,0.005696451558722393
28,0.28203561446720365,0.28789548346421184,0.0058598689970081885
29,0.2815035716138434,0.28755766097926094,0.00605408936541757
30,0.28104399839364724,0.2873362887457079,0.006292290352060637
31,0.28056331882181723,0.28691540161208734,0.006352082790270108
32,0.2801319921064204,0.2866535689452396,0.006521576838819154
33,0.27971906998815466,0.2864036258313283,0.006684555843173623
34,0.2792843669749474,0.28618772900826406,0.006903362033316651
35,0.27885652079345574,0.28589503207528916,0.007038511281833415
36,0.2784239047501959,0.28568964639581684,0.007265741645620938
37,0.27803940119191123,0.2855015749225024,0.0074621737305911595
38,0.2776445164688892,0.285345200106758,0.007700683637868799
39,0.2772851032662413,0.2850999390095098,0.007814835743268522
40,0.27690064162060535,0.28498513212250204,0.00808449050189669
41,0.2764845362970009,0.28481530064680266,0.008330764349801734
42,0.27610688366136094,0.28466864876024317,0.008561765098882235
43,0.2757137596571823,0.28460726060101865,0.008893500943836341
44,0.2753291505121027,0.28457681560039777,0.009247665088295054
45,0.2749615874701399,0.2845668338768987,0.009605246406758805
46,0.27462908317137263,0.2844814423324846,0.00985235916111199
47,0.27427395884338857,0.28433919934170115,0.010065240498312589
48,0.2739412534206499,0.2842146659355735,0.010273412514923586
49,0.2736070171354618,0.2840945641474986,0.010487547012036802
50,0.2733070437948855,0.2840758888962616,0.010768845101376101
51,0.27298610954110064,0.2839646776128066,0.01097856807170594
52,0.2725888835598101,0.2837022684959008,0.011113384936090709
53,0.2722448908882509,0.2835453032183555,0.011300412330104648
54,0.2719470014186221,0.2834825675107933,0.011535566092171212
55,0.27160952412072786,0.2834562263138046,0.011846702193076764
56,0.27122834189551254,0.28312779480938866,0.011899452913876118
57,0.2709407036635061,0.2830767564522225,0.012136052788716434
58,0.27063763762701604,0.28295067689558273,0.012313039268566695
59,0.2702391306307702,0.2827656508469367,0.012526520216166515
60,0.26987319419318384,0.2826406348815498,0.012767440688365939
61,0.26956601785895246,0.2825942658915691,0.013028248032616652
62,0.26929801691870053,0.2825286066303612,0.01323058971166069
63,0.2690231400131823,0.28246397846805066,0.013440838454868376
64,0.26869371279118714,0.28232705379073064,0.013633340999543497
65,0.26840270385169895,0.28227576557564954,0.013873061723950586
66,0.26815148343619905,0.2822448892172186,0.01409340578101953
67,0.2677665539647355,0.2821527817196183,0.014386227754882797
68,0.267465285551634,0.28214125769119525,0.014675972139561233
69,0.26715455633590546,0.2820200197533953,0.014865463417489844
70,0.26687317910655695,0.28209593745033457,0.01522275834377762
71,0.26649336902051624,0.2821309912102808,0.015637622189764555
72,0.2662369830914801,0.282151725384928,0.015914742293447914
73,0.2659470593935524,0.282131041227949,0.01618398183439662
74,0.26565945897860044,0.2821052611999633,0.016445802221362882
75,0.26540362577874,0.2819967329819784,0.016593107203238422
76,0.26512769592977764,0.28190645394812275,0.016778758018345108
77,0.2649056828636992,0.28197684742545465,0.017071164561755447
78,0.26468069069258043,0.28190193039794426,0.017221239705363822
79,0.26441960762850203,0.2818476591754905,0.017428051546988454
80,0.2641522822811583,0.28174669676713926,0.01759441448598098
81,0.2639104381564224,0.2817227127525649,0.017812274596142486
82,0.26363260675214634,0.281553271126119,0.01792066437397266
83,0.26338371035567465,0.2814642353843187,0.018080525028644046
84,0.2631566758507324,0.28141705574310416,0.01826037989237178
85,0.26292030075641254,0.28140746465079525,0.018487163894382708
86,0.26266198076134945,0.28139497220199117,0.018732991440641722
87,0.26246173903145237,0.28141913136391494,0.018957392332462575
88,0.26219551869295044,0.28141359774374547,0.019218079050795034
89,0.26186589949166356,0.2814122130239043,0.019546313532240733
90,0.26163252710402896,0.2814642887117802,0.01983176160775124
91,0.2613792522566526,0.28135704106766685,0.019977788811014252
92,0.261176941923435,0.28142389060635054,0.020246948682915544
93,0.2609189606183433,0.2814193137134661,0.020500353095122825
94,0.2606551128392803,0.28141151179303364,0.020756398953753363
95,0.2603600877730713,0.2814337629200345,0.021073675146963233
96,0.26016766575593625,0.28137051913982003,0.02120285338388378
97,0.25990061249483526,0.281316942766559,0.021416330271723738
98,0.2596888237400613,0.2813296040568902,0.021640780316828923
99,0.2595096686360674,0.2813547800758868,0.02184511143981943
100,0.25925753025457754,0.28132841210791304,0.0220708818533355
101,0.25895482414691845,0.28129008175226283,0.022335257605344383
102,0.2587423366958318,0.2812448195392138,0.02250248284338202
103,0.2584854665236953,0.28125028598178603,0.022764819458090724
104,0.2582299397142411,0.2812339475252399,0.023004007810998817
105,0.258021724750631,0.2812859918500893,0.02326426709945828
106,0.2578087913375313,0.28132584589211534,0.023517054554584027
107,0.2575825890604843,0.28128556989331366,0.023702980832829346
108,0.257351512310666,0.28132404759379753,0.023972535283131535
109,0.2570692515209519,0.2812724262147199,0.02420317469376798
110,0.25688176656501654,0.2812699366892277,0.024388170124211128
111,0.2567040530734707,0.28126942785218906,0.02456537477871834
112,0.25649657218140737,0.28124985550161563,0.024753283320208264
113,0.2562562122742914,0.2811629210139758,0.02490670873968437
114,0.2560289784631004,0.28125358760336694,0.02522460914026653
115,0.25581570894853,0.2811803519533359,0.025364643004805898
116,0.25558709070736435,0.28121253413127073,0.02562544342390638
117,0.2553835321986045,0.2813979282023169,0.026014396003712414
118,0.25513457550813307,0.28132330118800686,0.026188725679873792
119,0.254899305151853,0.28136245140872485,0.02646314625687185
120,0.25467500309817065,0.28137017702379513,0.026695173925624482
121,0.2544785833134679,0.28135378505143194,0.02687520173796404
122,0.2543112291460728,0.28141297049023695,0.027101741344164154
123,0.2540810207287905,0.2814505457856788,0.027369525056888278
124,0.25389639112363815,0.2814524944074092,0.02755610328377106
125,0.253694729982614,0.28145219023890744,0.027757460256293442
126,0.25353049064916644,0.28136818959493853,0.027837698945772094
127,0.2533032213800656,0.2813445333331599,0.028041311953094283
128,0.2531125272921547,0.2813127358413452,0.028200208549190475
129,0.25287561508561057,0.2812650371930814,0.028389422107470808
130,0.25270313645084896,0.2812912847382156,0.02858814828736661
131,0.2525151987370824,0.2813090046278964,0.028793805890813984
132,0.2523279484810901,0.28126306985030985,0.028935121369219774
133,0.2521151316053336,0.2813120049015906,0.029196873296256975
134,0.2518717435131098,0.2813038554787599,0.0294321119656501
135,0.25166699240659535,0.2812975859446728,0.029630593538077454
136,0.25151456100027103,0.28129617131297613,0.029781610312705098
137,0.2513524805141875,0.28127519003197754,0.029922709517790025
138,0.2511979853872236,0.28127472284808774,0.030076737460864145
139,0.25104077109429723,0.28132703862795316,0.03028626753365593
140,0.25084750912703097,0.2813086207585847,0.03046111163155374
141,0.25067687589635673,0.28129316869609067,0.030616292799733935
142,0.2504485799377302,0.28124821810900186,0.03079963817127168
143,0.2502701649168989,0.28123872705714414,0.030968562140245237
144,0.2501179619050575,0.28121802042237115,0.031100058517313678
145,0.24992231431153872,0.2812271000776155,0.03130478576607676
146,0.24969392781570007,0.2812906834136041,0.03159675559790401
147,0.2495102187445311,0.28124102897424114,0.03173081022971003
148,0.24927552963880062,0.2812990153405292,0.03202348570172858
149,0.24906093405833493,0.28139454438267814,0.032333610324343204
150,0.2489027168251139,0.28139234492854776,0.032489628103433865
151,0.24870142331655462,0.2813926431035899,0.03269121978703529
152,0.24853092397631085,0.2813734871266008,0.032842563150289966
153,0.24838026694567306,0.281354787657164,0.03297452071149093
154,0.24820747960291734,0.281316438076996,0.03310895847407869
155,0.24800135634240036,0.28134835568353866,0.0333469993411383
156,0.2478310590933309,0.2813454597939281,0.03351440070059722
157,0.24766320621289756,0.28127663174871587,0.03361342553581831
158,0.24744724338347257,0.28126765113637464,0.03382040775290207
159,0.24724678975179473,0.281260569861431,0.034013780109636266
160,0.2470537917665702,0.2813164439412074,0.034262652174637226
161,0.2468443198486477,0.2813216181681903,0.034477298319542604
162,0.2466025892923122,0.28131367299462756,0.03471108370231535
163,0.24639257303058568,0.2812916230641143,0.03489905003352864
164,0.2462342639856475,0.2813333075716031,0.035099043585955586
165,0.24608476556393152,0.28134182414595693,0.03525705858202541
166,0.2458643478425727,0.28135446458736957,0.03549011674479688
167,0.24568989523531373,0.28134381087874777,0.035653915643434037
168,0.24553667836447043,0.2813419838940597,0.03580530552958924
169,0.2453884535210202,0.281372499623296,0.03598404610227582
170,0.24519996185132223,0.2813457485544551,0.03614578670313287
171,0.24503241752002242,0.2813101600708405,0.03627774255081806
172,0.24487406232094006,0.2812499068079333,0.03637584448699327
173,0.24466568552199883,0.2812743973502624,0.03660871182826356
174,0.2445278254260355,0.28115181661851085,0.036623991192475364
175,0.2443481116788947,0.2811600413577235,0.03681192967882879
176,0.24418024344289488,0.28116100932011473,0.03698076587721985
177,0.24399190803758308,0.2811584818726204,0.0371665738350373
178,0.24382285526964495,0.28121728347538144,0.03739442820573649
179,0.24368325066105734,0.28119771094016344,0.0375144602791061
180,0.24346721692368,0.28130749032014857,0.03784027339646856
181,0.2433163142363221,0.2813125368412857,0.0379962226049636
182,0.24316191267392454,0.2813730808709681,0.03821116819704354
183,0.24296788848131853,0.2813270749743923,0.038359186493073766
184,0.24279580738077433,0.2813014347225714,0.03850562734179708
185,0.2426069837673088,0.2813544442200038,0.038747460452694976
186,0.24244580592438741,0.28138174523438453,0.038935939309997114
187,0.242262847489645,0.2814168351271935,0.039153987637548515
188,0.24207533213943355,0.28144715416787947,0.03937182202844591
189,0.24190296253381052,0.28149176312971136,0.039588800595900836
190,0.24175875536562041,0.28148167381286315,0.03972291844724274
191,0.2416034061065376,0.28142250832023996,0.039819102213702356
192,0.2413818897796474,0.2813789399522474,0.039997050172599996
193,0.24125336066798175,0.2813193289255844,0.04006596825760267
194,0.24107402167734324,0.28134155952783246,0.04026753785048923
195,0.24087964594006767,0.281360904540796,0.04048125860072832
196,0.24074586393347108,0.281350906580313,0.04060504264684189
197,0.24058577006874834,0.2813390913256612,0.04075332125691286
198,0.24038244944177997,0.2813543555742819,0.04097190613250193
199,0.24019511857598186,0.28141088045572005,0.04121576187973819
200,0.24002804578976183,0.2814280330360103,0.04139998724624849
201,0.23982285195615416,0.28150090866637983,0.041678056710225675
202,0.23963231838454416,0.2815142608783535,0.04188194249380936
203,0.23948408433654197,0.2815453673904799,0.04206128305393794
204,0.2393151503240614,0.28159588895214055,0.042280738628079156
205,0.2391547994353562,0.28152355710452287,0.04236875766916667
206,0.2390041529280265,0.2815177680970344,0.042513615169007896
207,0.2388199548400681,0.28155142751553264,0.04273147267546454
208,0.23867364483937792,0.2816001055179198,0.04292646067854189
209,0.23849622210267368,0.28163927532382993,0.04314305322115625
210,0.23836196712068342,0.28162148050812275,0.04325951338743933
211,0.23823656510099178,0.28162149362823397,0.043384928527242184
212,0.23811363832332338,0.28162274297608697,0.043509104652763586
213,0.2378680782213256,0.2816005652522377,0.04373248703091209
214,0.23772103016412324,0.28162904605452466,0.043908015890401414
215,0.2375639287397668,0.28159845629740643,0.04403452755763962
216,0.23735344412812814,0.2816943278452748,0.04434088371714667
217,0.23715102424254317,0.2817231024523869,0.04457207820984374
218,0.23696102020929757,0.281750372825606,0.044789352616308425
219,0.23678454338590266,0.28183966875117267,0.04505512536527001
220,0.23665498971271945,0.2818278704872783,0.04517288077455886
221,0.23646094226828307,0.28186750874640026,0.045406566478117194
222,0.23630399812995675,0.2818669784747345,0.045562980344777765
223,0.2361107788516666,0.28186840716036754,0.04575762830870095
224,0.23592789870155267,0.28182771735411255,0.045899818652559876
225,0.23574436831420398,0.2818464119556417,0.04610204364143772
226,0.2355973822089517,0.28183595992884797,0.04623857771989626
227,0.23541342859643008,0.28186609743616375,0.046452668839733674
228,0.2352101559858552,0.28191887470176635,0.046708718715911146
229,0.23505663582468053,0.2819201281621979,0.04686349233751738
230,0.23488906171484644,0.2819282048104821,0.047039143095635644
231,0.23476543987604492,0.281939079901702,0.047173640025657104
232,0.23457141773894105,0.28188912864269466,0.04731771090375361
233,0.2344163586408765,0.28186203426479073,0.04744567562391422
234,0.23428972052740357,0.2818650506003019,0.04757533007289835
235,0.23412471642495883,0.2818341451836471,0.04770942875868825
236,0.23397016037594565,0.28181236843454766,0.04784220805860201
237,0.23380418676965833,0.2818176593047754,0.04801347253511709
238,0.23361847976623012,0.2818407568754132,0.04822227710918309
239,0.23348058408021738,0.2818929199680121,0.0484123358877947
240,0.23332011308208891,0.2819586950304479,0.04863858194835899
241,0.2330925311577977,0.28197566541702596,0.048883134259228245
242,0.23296092599969062,0.28198905522318096,0.04902812922349034
243,0.23281516621470777,0.2819738481875321,0.0491586819728243
244,0.23266763565340956,0.2819589999858754,0.049291364332465865
245,0.23249394040834712,0.28198730673929207,0.04949336633094495
246,0.23228426276819594,0.2819778113307089,0.049693548562512985
247,0.23216996379863702,0.28198932167706603,0.049819357878429005
248,0.23203351457352317,0.2819727448016198,0.049939230228096654
249,0.231822499032256,0.28203576552200266,0.050213266489746666
250,0.23166748654473102,0.2819778542105591,0.05031036766582808
251,0.2315181887203285,0.28195717689270294,0.05043898817237444
252,0.23134086214502703,0.28191442829958463,0.0505735661545576
253,0.23121467267993712,0.28192724892220394,0.05071257624226683
254,0.23102338114915133,0.2819455663791775,0.050922185230026173
255,0.23085162496456899,0.2819608898569837,0.05110926489241471
256,0.23074258304753925,0.28198251079425224,0.05123992774671299
257,0.2305595311759638,0.28208083168817855,0.051521300512214735
258,0.23042875546638605,0.2820761008670667,0.05164734540068064
259,0.2302497591760952,0.28212320763930593,0.051873448463210736
260,0.23012136434532518,0.28213907909319175,0.05201771474786657
261,0.22996705123945854,0.28213532550256887,0.052168274263110326
262,0.22980090295552102,0.2820319840877103,0.05223108113218927
263,0.22960959296467784,0.28202585708499467,0.05241626412031683
264,0.22951555969071122,0.28203534533805785,0.052519785647346634
265,0.22931061634340155,0.28200979070310983,0.05269917435970828
266,0.2291577280185881,0.28201260760089425,0.05285487958230614
267,0.2289904574609271,0.2820612325246335,0.05307077506370639
268,0.22882109616998855,0.2820366774640824,0.053215581294093844
269,0.22862565431381315,0.2820838002922177,0.053458145978404537
270,0.22845118465744033,0.28208845127523813,0.0536372666177978
271,0.22832462561763966,0.28203371653102055,0.053709090913380886
272,0.2281401856379648,0.2820249352649193,0.0538847496269545
273,0.22797858244753225,0.28200672134256777,0.05402813889503552
274,0.2277941843001883,0.28198140891728757,0.05418722461709927
275,0.22759777650186658,0.28200615640637744,0.05440837990451086
276,0.22746429388844042,0.28200340676019947,0.054539112871759055
277,0.22727330885548486,0.2819960788635962,0.05472277000811132
278,0.22714129076701717,0.2820005000865507,0.05485920931953353
279,0.22696964263139488,0.282042345845551,0.05507270321415611
280,0.22686939621080138,0.28205999906259377,0.05519060285179239
281,0.22670534513525065,0.2821155844986782,0.05541023936342754
282,0.22656672967049218,0.28210180030239135,0.055535070631899164
283,0.2264297935388483,0.2821404413067327,0.055710647767884425
284,0.22627734562867788,0.2821382630783156,0.0558609174496377
285,0.22610609402762863,0.2821134370078295,0.05600734298020085
286,0.22593374532717567,0.28211423808528074,0.05618049275810508
287,0.22580192580317812,0.2821116810954727,0.05630975529229457
288,0.22559106185043953,0.2821185101888913,0.05652744833845175
289,0.22542867833530575,0.2821782081555694,0.05674952982026363
290,0.22525999123693877,0.2821838814936355,0.056923890256696724
291,0.22507536766999944,0.2822480554830363,0.05717268781303683
292,0.22496204050477034,0.2822741722167383,0.057312131711967945
293,0.22475359394556996,0.28225267758858885,0.057499083643018895
294,0.22461587432722827,0.28229494924670784,0.05767907491947957
295,0.22448027721143024,0.28229979782323356,0.057819520611803316
296,0.22435177727017142,0.2823778450808391,0.05802606781066766
297,0.22421724274405944,0.28238523716003777,0.058167994415978336
298,0.22406041696132112,0.2823588371867581,0.058298420225436964
299,0.22388611528526298,0.28234161467328367,0.05845549938802069
300,0.2237466482349726,0.2823757087547897,0.05862906051981709
301,0.2235986626663839,0.2823659517244527,0.05876728905806883
302,0.2234241734722379,0.28242394992871006,0.05899977645647217
303,0.2232814964983611,0.28242739125714356,0.05914589475878246
304,0.22310678373528753,0.28242996509104057,0.05932318135575304
305,0.2229550137522915,0.2824584234280041,0.059503409675712604
306,0.2228292323954032,0.2824272784884984,0.059598046093095214
307,0.222690362515029,0.2824692568859938,0.059778894370964786
308,0.22253850906455902,0.2824803926627835,0.0599418835982245
309,0.22236383744005223,0.2824917450014391,0.06012790756138686
310,0.22220362128366408,0.28249112772360396,0.06028750643993988
311,0.22201560461550932,0.28249266095103154,0.06047705633552222
312,0.22185334263655637,0.2825364403548929,0.06068309771833652
313,0.22174761723189607,0.282572074421296,0.06082445718939994
314,0.2216130767265789,0.282596411466811,0.060983334740232126
315,0.22145453619786068,0.2825899782954161,0.06113544209755542
316,0.22126261669092606,0.28260615659884636,0.0613435399079203
317,0.2211099131471089,0.2826198524718688,0.06150993932475993
318,0.22093975908187427,0.28263437422863735,0.06169461514676308
319,0.22076950120895428,0.28263161880402,0.06186211759506571
320,0.22061462736726,0.28259389507413285,0.06197926770687284
321,0.22045414762170074,0.2825766156094737,0.06212246798777299
322,0.2203129345028644,0.28252314352473623,0.062210209021871826
323,0.22015591110109034,0.2825652383686394,0.06240932726754905
324,0.21999591450778788,0.28263095749565487,0.06263504298786698
325,0.21983992205164302,0.2825875099221283,0.06274758787048526
326,0.21972434190515705,0.28259820471509484,0.06287386280993779
327,0.2195731667748394,0.28269315526908684,0.06311998849424744
328,0.21940978639055495,0.28260152420408213,0.06319173781352719
329,0.2193033846986275,0.2826024084201309,0.0632990237215034
330,0.21919634430257373,0.28259318373118164,0.06339683942860791
331,0.21905247924756646,0.282586352594454,0.06353387334688756
332,0.2188963383770574,0.28263567115654026,0.06373933277948285
